,addy,sub,spain,div,mex,mult2x1,faith,science
addy,,0.18,0.04,0.14,0.37,0.1,0.05,0.01
sub,0.03,,0.04,0.14,0.12,0.07,0.04,0.01
spain,0.01,0.07,,0.05,-0.02,0.01,0.12,0.01
div,0.08,0.2,0.02,,0.38,0.13,0.1,0.02
mex,0.07,0.23,0.04,0.14,,0.11,0.04,0.01
mult2x1,0.04,0.2,0.04,0.14,0.38,,0.06,0
faith,-0.01,0.05,0.02,0.03,0.02,0.02,,0.03
science,0,0.04,0.02,0.03,0.07,0.02,0.08,
