,addy,sub,spain,div,mex,mult2x1,faith,science
addy,,1.6666666666666667,0.0049999999999999776,5.25,0.7272727272727273,1.7037037037037035,0.054054054054054106,0.029411764705882214
sub,1.5999999999999999,,-0.03520000000000006,2.0,0.31818181818181807,0.7777777777777776,0.10810810810810806,0.029411764705882214
spain,0.1999999999999999,0.06666666666666674,,-0.0833333333333333,-0.0454545454545455,-0.03703703703703707,0.08108108108108115,0.20588235294117632
div,3.3999999999999995,1.3333333333333333,-0.03520000000000006,,0.7272727272727273,1.7407407407407405,0.13513513513513511,0.029411764705882214
mex,1.0,0.3333333333333335,0.0049999999999999776,2.166666666666667,,1.3333333333333333,0.054054054054054106,-0.7058823529411765
mult2x1,2.4,0.7333333333333335,-0.03520000000000006,6.083333333333333,0.7727272727272728,,0.08108108108108115,0.08823529411764697
faith,0.0,0.06666666666666674,-0.397,-0.0833333333333333,0.0,-0.03703703703703707,,0.8823529411764705
science,0.4000000000000001,0.13333333333333347,-0.3568,-0.1666666666666666,-0.18181818181818185,0.03703703703703707,0.5675675675675674,
