,addy,sub,spain,div,mex,mult2x1,faith,science
addy,0.09,0.14,0.01,0.12,0.11,0.09,0.03,0.01
sub,0.03,0.24,0.01,0.12,0.04,0.06,0.03,0.01
spain,0.01,0.06,0.01,0.04,0.00,0.02,0.07,0.01
div,0.08,0.15,0.00,0.12,0.12,0.12,0.06,0.02
mex,0.07,0.18,0.01,0.12,0.16,0.10,0.03,0.01
mult2x1,0.04,0.15,0.01,0.12,0.12,0.12,0.04,0.01
faith,0.00,0.05,0.00,0.03,0.01,0.03,0.04,0.02
science,0.00,0.04,0.00,0.03,0.02,0.03,0.05,-0.01
