,addy,sub,spain,div,mex,mult2x1,faith,science
addy,0.27,0.12,0.00,0.32,0.08,0.23,0.01,0.00
sub,0.04,0.36,0.00,0.12,0.03,0.10,0.02,0.00
spain,0.00,0.01,0.11,0.00,-0.01,-0.01,0.02,0.03
div,0.08,0.10,0.00,0.60,0.08,0.24,0.02,0.00
mex,0.02,0.03,0.00,0.13,0.10,0.18,0.01,-0.12
mult2x1,0.06,0.06,0.00,0.36,0.08,0.45,0.02,0.01
faith,0.00,0.01,-0.05,0.00,0.00,-0.01,0.10,0.15
science,0.01,0.01,-0.04,-0.01,-0.02,0.01,0.10,0.12
